level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	953	1424	-1	
2	1	1	0	0	0	51	43	829	1264	-1	
3	1	1	1	0	0	51	43	902	1264	-1	
4	1	1	1	1	0	71	43	89	18	-1	
5	1	1	1	1	1	71	43	73	18	89.288956	Solution
5	1	1	1	1	2	156	48	4	10	48.238583	:
4	1	1	1	2	0	177	79	30	16	-1	
5	1	1	1	2	1	177	79	30	16	96.358139	AB
4	1	1	1	3	0	141	77	447	59	-1	
5	1	1	1	3	1	141	102	11	11	15.441113	3
5	1	1	1	3	2	170	77	38	59	23.016710	OR
5	1	1	1	3	3	233	81	55	29	23.016710	E75
5	1	1	1	3	4	307	77	75	39	0.000000	BONE
5	1	1	1	3	5	395	90	25	21	0.000000	Ml
5	1	1	1	3	6	452	74	9	53	0.906925	1
5	1	1	1	3	7	540	89	48	16	4.872150	Oe.
4	1	1	1	4	0	237	109	355	27	-1	
5	1	1	1	4	1	237	112	58	19	8.491802	82
5	1	1	1	4	2	313	111	44	22	17.871666	PRs
5	1	1	1	4	3	369	105	56	40	5.225344	12
5	1	1	1	4	4	479	109	44	27	6.683474	Pon
5	1	1	1	4	5	536	105	37	40	33.318653	108
5	1	1	1	4	6	583	112	9	2	45.143608	2
4	1	1	1	5	0	414	121	177	16	-1	
5	1	1	1	5	1	414	133	9	4	96.989090	2
5	1	1	1	5	2	536	121	4	15	85.826241	1
5	1	1	1	5	3	582	121	9	15	96.990303	2
4	1	1	1	6	0	138	120	416	53	-1	
5	1	1	1	6	1	138	138	91	35	0.000000	ee
5	1	1	1	6	2	236	140	91	25	0.000000	BCEMAC
5	1	1	1	6	3	492	120	62	20	18.399582	cpio
4	1	1	1	7	0	176	166	150	28	-1	
5	1	1	1	7	1	176	170	31	20	90.546249	QR
5	1	1	1	7	2	239	171	26	17	80.748497	PR
5	1	1	1	7	3	298	174	28	20	80.748497	PQ
4	1	1	1	8	0	176	202	138	22	-1	
5	1	1	1	8	1	141	206	12	11	44.726440	*.
5	1	1	1	8	2	176	202	58	16	64.414436	AABC
5	1	1	1	8	3	242	212	9	3	90.114494	~
5	1	1	1	8	4	258	204	56	20	74.987274	AQRP
4	1	1	1	9	0	138	212	701	41	-1	
5	1	1	1	9	1	138	236	75	16	29.084110	=p
5	1	1	1	9	2	222	238	51	15	24.264912	-ve
5	1	1	1	9	3	678	213	29	19	95.668144	[By
5	1	1	1	9	4	715	212	32	15	96.940659	SSS
5	1	1	1	9	5	756	212	83	18	95.113152	similarity]
4	1	1	1	10	0	222	270	181	23	-1	
5	1	1	1	10	1	222	276	12	6	93.957306	=
